host,target
CPSF1,C3
CPSF1,AKR7A2
CPSF1,APOC3
CPSF1,WDR13
CPSF1,MRPS10
CPSF1,TIMM8A
CPSF1,RPS15A
CPSF1,PLEKHA3
CPSF1,PDE12
CPSF1,TNRC18P2
CPSF1,BAG1
CPSF1,F2
CPSF1,COX6B1
CPSF1,ABL2
CPSF1,PAPLN
CPSF1,CERS1
CPSF1,CDCP1
CPSF1,LANCL3
CPSF1,ZNF543
CPSF1,GMPR
CPSF1,ZNF488
CPSF1,HOXB5
CPSF1,ZSCAN2
CPSF1,FAM227A
CPSF1,RUSC2
CPSF1,ANO7
CPSF1,LILRA2
CPSF1,SRPX2
CPSF1,PXMP4
CPSF1,POU2F3
CPSF1,FUS
CPSF1,BDP1
CPSF1,DIS3L
CPSF1,KDM2B
CPSF1,MSANTD3
CPSF1,BBS5
CPSF1,VEGFC
CPSF1,ELOVL6
CPSF1,C6orf132
CPSF1,SLC35E2
CPSF1,SENP8
CPSF1,GK5
CPSF1,RBL1
CPSF1,SLC11A2
CPSF1,CHAF1B
CPSF1,APTX
CPSF1,DEFB105B
CPSF1,DEFB105A
CPSF1,GGPS1
CPSF1,PANK3
CPSF1,GSR
CPSF1,ZNF785
CPSF1,ENTPD1
CPSF1,ANKFY1
CPSF1,SLC25A16
CPSF1,SMAGP
CPSF1,CLUAP1
CPSF1,RNF135
CPSF1,LETM2
CPSF1,PRSS21
CPSF1,TRIM16L
CPSF1,HES2
CPSF1,MRPS16
CPSF1,NPR1
CPSF1,MGST3
CPSF1,ALDH5A1
CPSF1,MCCC2
CPSF1,ASB8
CPSF1,FRMD8
CPSF1,FAM192A
CPSF1,ZNF626
CPSF1,ACAD8
CPSF1,IGSF6
CPSF1,ZBTB16
CPSF1,USP49
CPSF1,TMEM181
CPSF1,TACO1
CPSF1,STX1B
CPSF1,PRKAR2A
CPSF1,PHAX
CPSF1,OTUD7B
CPSF1,NEK9
CPSF1,LYRM7
CPSF1,GPR75
CPSF1,GJD3
CPSF1,EMC3
CPSF1,ALG14
CPSF1,ABHD2
CPSF1,S1PR2
CPSF1,TBC1D15
CPSF1,PRPSAP1
CPSF1,ZNF445
CPSF1,SLC16A4
CPSF1,ORAI2
CPSF1,POFUT2
CPSF1,ELK1
CPSF1,SF3A1
CPSF1,TUBD1
CPSF1,SCRG1
CPSF1,RNF170
CPSF1,RNF115
CPSF1,PI4K2B
CPSF1,NAV1
CPSF1,MYPN
CPSF1,HAUS3
CPSF1,GDE1
CPSF1,FKBP5
CPSF1,C17orf75
CPSF1,BMP3
CPSF1,ZBTB8B
CPSF1,ABCF3
CPSF1,ADK
CPSF1,KLHDC8A
CPSF1,HPSE
CPSF1,ZNF333
CPSF1,FAM229B
CPSF1,ZNF347
CPSF1,ARL10
CPSF1,SVOP
CPSF1,HACE1
CPSF1,MED28
CPSF1,VSIG1
CPSF1,METTL14
CPSF1,SHROOM4
CPSF1,SMIM15
CPSF1,CAVIN4
CPSF1,SNRPD1
CPSF1,POC1A
CPSF1,OCIAD2
CPSF1,ALG1
CPSF1,UGGT1
CPSF1,PNPLA3
CPSF1,ZNF519
CPSF1,SLC4A4
CPSF1,CSNK1E
CPSF1,VTA1
CPSF1,OLFML2A
CPSF1,DHTKD1
CPSF1,NUPL2
CPSF1,OGFOD1
CPSF1,LACTB
CPSF1,PURB
CPSF1,SYK
CPSF1,SSBP2
CPSF1,LIN9
CPSF1,CABP4
CPSF1,GTDC1
CPSF1,AS3MT
CPSF1,E2F2
CPSF1,OXA1L
CPSF1,AAED1
CPSF1,KCNE4
CPSF1,RBM28
CPSF1,LIX1L
CPSF1,EIF4EBP1
CPSF1,MDM2
CPSF1,TMCO1
CPSF1,TRMO
CPSF1,MIGA1
CPSF1,ZNF292
CPSF1,RPL12
CPSF1,NF2
CPSF1,SUSD5
CPSF1,PSMB9
